cve_ent,Entidad,Pollutant,Cause,crf_type,Reference,attributable_deaths,attrib_fraction_pct,rate_per_100k,population_at_risk
02,Baja California,O3,Respiratory disease,lineal,kasdagli_2024,623,37,25,2483333
07,Chiapas,O3,Respiratory disease,lineal,kasdagli_2024,600,31,20,2976828
20,Oaxaca,O3,Respiratory disease,lineal,kasdagli_2024,593,33,25,2405118
05,Coahuila,O3,Respiratory disease,lineal,kasdagli_2024,565,39,29,1944444
17,Morelos,O3,Respiratory disease,lineal,kasdagli_2024,525,41,42,1239560
22,Querétaro,O3,Respiratory disease,lineal,kasdagli_2024,491,40,32,1548350
13,Hidalgo,O3,Respiratory disease,lineal,kasdagli_2024,490,41,26,1919261
28,Tamaulipas,O3,Respiratory disease,lineal,kasdagli_2024,488,36,22,2228284
25,Sinaloa,O3,Respiratory disease,lineal,kasdagli_2024,435,33,23,1881064
31,Yucatán,O3,Respiratory disease,lineal,kasdagli_2024,431,29,29,1505851
12,Guerrero,O3,Respiratory disease,lineal,kasdagli_2024,341,33,18,1940296
32,Zacatecas,O3,Respiratory disease,lineal,kasdagli_2024,340,39,36,936732
10,Durango,O3,Respiratory disease,lineal,kasdagli_2024,284,39,26,1072523
27,Tabasco,O3,Respiratory disease,lineal,kasdagli_2024,272,33,19,1406926
01,Aguascalientes,O3,Respiratory disease,lineal,kasdagli_2024,262,40,30,859992
18,Nayarit,O3,Respiratory disease,lineal,kasdagli_2024,217,33,29,755026
29,Tlaxcala,O3,Respiratory disease,lineal,kasdagli_2024,203,42,25,807892
23,Quintana Roo,O3,Respiratory disease,lineal,kasdagli_2024,182,29,15,1215708
06,Colima,O3,Respiratory disease,lineal,kasdagli_2024,151,34,32,467657
04,Campeche,O3,Respiratory disease,lineal,kasdagli_2024,129,29,23,561015
03,Baja California Sur,O3,Respiratory disease,lineal,kasdagli_2024,109,32,21,527692
15,Estado de México,PM25,All-cause,lineal,orellano_2024,16591,19,157,10562795
09,Ciudad de México,PM25,All-cause,lineal,orellano_2024,13243,22,209,6337060
30,Veracruz,PM25,All-cause,lineal,orellano_2024,5066,9,103,4933631
14,Jalisco,PM25,All-cause,lineal,orellano_2024,4544,10,88,5159420
21,Puebla,PM25,All-cause,lineal,orellano_2024,3673,10,95,3881075
11,Guanajuato,PM25,All-cause,lineal,orellano_2024,3143,10,85,3689951
19,Nuevo León,PM25,All-cause,lineal,orellano_2024,2853,9,76,3765863
07,Chiapas,PM25,All-cause,lineal,orellano_2024,2800,10,94,2976828
16,Michoacán,PM25,All-cause,lineal,orellano_2024,2284,10,82,2797877
13,Hidalgo,PM25,All-cause,lineal,orellano_2024,2160,14,113,1919261
02,Baja California,PM25,All-cause,lineal,orellano_2024,1839,10,74,2483333
17,Morelos,PM25,All-cause,lineal,orellano_2024,1755,14,142,1239560
20,Oaxaca,PM25,All-cause,lineal,orellano_2024,1744,7,73,2405118
27,Tabasco,PM25,All-cause,lineal,orellano_2024,1541,12,109,1406926
24,San Luis Potosí,PM25,All-cause,lineal,orellano_2024,1348,8,79,1709358
08,Chihuahua,PM25,All-cause,lineal,orellano_2024,1299,6,55,2363199
22,Querétaro,PM25,All-cause,lineal,orellano_2024,1251,11,81,1548350
28,Tamaulipas,PM25,All-cause,lineal,orellano_2024,1177,7,53,2228284
05,Coahuila,PM25,All-cause,lineal,orellano_2024,940,6,48,1944444
31,Yucatán,PM25,All-cause,lineal,orellano_2024,887,6,59,1505851
12,Guerrero,PM25,All-cause,lineal,orellano_2024,882,7,45,1940296
29,Tlaxcala,PM25,All-cause,lineal,orellano_2024,757,12,94,807892
26,Sonora,PM25,All-cause,lineal,orellano_2024,749,5,40,1858606
25,Sinaloa,PM25,All-cause,lineal,orellano_2024,642,5,34,1881064
32,Zacatecas,PM25,All-cause,lineal,orellano_2024,424,5,45,936732
04,Campeche,PM25,All-cause,lineal,orellano_2024,416,8,74,561015
01,Aguascalientes,PM25,All-cause,lineal,orellano_2024,402,7,47,859992
23,Quintana Roo,PM25,All-cause,lineal,orellano_2024,399,6,33,1215708
18,Nayarit,PM25,All-cause,lineal,orellano_2024,343,6,45,755026
06,Colima,PM25,All-cause,lineal,orellano_2024,341,8,73,467657
10,Durango,PM25,All-cause,lineal,orellano_2024,331,4,31,1072523
03,Baja California Sur,PM25,All-cause,lineal,orellano_2024,138,4,26,527692
15,Estado de México,PM25,All-cause,non-linear,eschif+fusion,16591,19,157,10562795
09,Ciudad de México,PM25,All-cause,non-linear,eschif+fusion,13144,21,207,6337060
30,Veracruz,PM25,All-cause,non-linear,eschif+fusion,5190,9,105,4933631
14,Jalisco,PM25,All-cause,non-linear,eschif+fusion,4677,10,91,5159420
21,Puebla,PM25,All-cause,non-linear,eschif+fusion,3768,10,97,3881075
11,Guanajuato,PM25,All-cause,non-linear,eschif+fusion,3227,10,87,3689951
19,Nuevo León,PM25,All-cause,non-linear,eschif+fusion,2942,9,78,3765863
07,Chiapas,PM25,All-cause,non-linear,eschif+fusion,2866,11,96,2976828
16,Michoacán,PM25,All-cause,non-linear,eschif+fusion,2347,10,84,2797877
13,Hidalgo,PM25,All-cause,non-linear,eschif+fusion,2190,14,114,1919261
20,Oaxaca,PM25,All-cause,non-linear,eschif+fusion,1905,8,79,2405118
02,Baja California,PM25,All-cause,non-linear,eschif+fusion,1898,10,76,2483333
17,Morelos,PM25,All-cause,non-linear,eschif+fusion,1785,14,144,1239560
27,Tabasco,PM25,All-cause,non-linear,eschif+fusion,1574,12,112,1406926
08,Chihuahua,PM25,All-cause,non-linear,eschif+fusion,1412,7,60,2363199
24,San Luis Potosí,PM25,All-cause,non-linear,eschif+fusion,1410,9,83,1709358
22,Querétaro,PM25,All-cause,non-linear,eschif+fusion,1278,11,83,1548350
28,Tamaulipas,PM25,All-cause,non-linear,eschif+fusion,1275,8,57,2228284
05,Coahuila,PM25,All-cause,non-linear,eschif+fusion,1115,7,57,1944444
31,Yucatán,PM25,All-cause,non-linear,eschif+fusion,1013,7,67,1505851
12,Guerrero,PM25,All-cause,non-linear,eschif+fusion,995,7,51,1940296
26,Sonora,PM25,All-cause,non-linear,eschif+fusion,934,6,50,1858606
25,Sinaloa,PM25,All-cause,non-linear,eschif+fusion,786,6,42,1881064
29,Tlaxcala,PM25,All-cause,non-linear,eschif+fusion,773,12,96,807892
32,Zacatecas,PM25,All-cause,non-linear,eschif+fusion,518,6,55,936732
23,Quintana Roo,PM25,All-cause,non-linear,eschif+fusion,478,7,39,1215708
