cvemun,pollutant,tot_pop_mun,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,paf_mean,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper
05007,PM25,12796.9999987203,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0609,68,4.138139221081512,3.454384074757174,4.662284179617428
05007,PM25,12796.9999987203,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0609,68,4.138139221081512,3.454384074757174,4.662284179617428
05008,PM25,3073.9999996926,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0671,18,1.207969722535607,1.0886619902521293,1.318957121163261
05008,PM25,3073.9999996926,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0671,18,1.207969722535607,1.0886619902521293,1.318957121163261
05009,PM25,60918.999987816205,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0601,279,16.759578880830137,13.852648702505487,18.917097593571786
05009,PM25,60918.999987816205,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0601,279,16.759578880830137,13.852648702505487,18.917097593571786
05010,PM25,84958.0000254874,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0703,517,36.32470073173287,33.37979897828319,39.07448264352242
05010,PM25,84958.0000254874,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0703,517,36.32470073173287,33.37979897828319,39.07448264352242
05011,PM25,11880,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.066,82,5.413081547759827,4.811019610911547,5.936496610002195
05011,PM25,11880,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.066,82,5.413081547759827,4.811019610911547,5.936496610002195
05012,PM25,1622.0000001622,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,15,1.0460775925764871,0.9579165919712652,1.1273569725836112
05012,PM25,1622.0000001622,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,15,1.0460775925764871,0.9579165919712652,1.1273569725836112
05013,PM25,1926,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0697,3,0.20921551851529746,0.19158331839425305,0.22547139451672227
05013,PM25,1926,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0703,3,0.21078162900425262,0.193693224245357,0.226737810310575
05014,PM25,9529.999999047,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0682,58,3.953963690118723,3.593447321818313,4.297327303831534
05014,PM25,9529.999999047,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0676,58,3.9233349739612797,3.544905392623905,4.274036890042063
05015,PM25,1635,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0676,15,1.014655596714124,0.916785877402734,1.1053543681143265
05015,PM25,1635,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0676,15,1.014655596714124,0.916785877402734,1.1053543681143265
05016,PM25,1785.9999998214,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0636,19,1.2091053336992417,1.0476842491513652,1.349154485156545
05016,PM25,1785.9999998214,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0636,19,1.2091053336992417,1.0476842491513652,1.349154485156545
05017,PM25,129046,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0609,582,35.41760333337412,29.565463698656988,39.90366753731387
05017,PM25,129046,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0609,582,35.41760333337412,29.565463698656988,39.90366753731387
05018,PM25,246990.000024699,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0703,1321,92.81417730487257,85.28958307603887,99.84021580675652
05018,PM25,246990.000024699,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0703,1321,92.81417730487257,85.28958307603887,99.84021580675652
05019,PM25,7880,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0692,61,4.222261653016117,3.859261227380534,4.567483651309704
05019,PM25,7880,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0692,61,4.222261653016117,3.859261227380534,4.567483651309704
05020,PM25,73813.0000147626,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0636,430,27.363962815298624,23.710748796583527,30.53349624301654
05020,PM25,73813.0000147626,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0636,430,27.363962815298624,23.710748796583527,30.53349624301654
05021,PM25,6638.0000006638,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0643,47,3.020275343146281,2.635994393984336,3.3528309940257968
05021,PM25,6638.0000006638,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0643,47,3.020275343146281,2.635994393984336,3.3528309940257968
05022,PM25,35702.9999892891,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0692,145,10.036523601431753,9.173653737216023,10.857133269506674
05022,PM25,35702.9999892891,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0692,145,10.036523601431753,9.173653737216023,10.857133269506674
05023,PM25,9687.0000009687,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0554,42,2.3271690660443025,1.834895477312645,2.691428150503716
05023,PM25,9687.0000009687,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0554,42,2.3271690660443025,1.834895477312645,2.691428150503716
05024,PM25,45080.000009016,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0565,307,17.331444722002978,13.785777601295054,19.879833767674935
05024,PM25,45080.000009016,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0565,307,17.331444722002978,13.785777601295054,19.879833767674935
05025,PM25,189733,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0682,939,64.01330870726692,58.17667302047234,69.57224721203121
05025,PM25,189733,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0682,939,64.01330870726692,58.17667302047234,69.57224721203121
05026,PM25,3234,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0671,25,1.6777357257438987,1.512030542016846,1.831884890504529
05026,PM25,3234,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0671,25,1.6777357257438987,1.512030542016846,1.831884890504529
05027,PM25,140864.0000281728,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0859,413,35.482182726335864,33.29722410398459,38.2941694203998
05027,PM25,140864.0000281728,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0859,413,35.482182726335864,33.29722410398459,38.2941694203998
05028,PM25,66976.0000200928,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0654,449,29.385371159509624,25.941621644643295,32.38387014905342
05028,PM25,66976.0000200928,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0654,449,29.385371159509624,25.941621644643295,32.38387014905342
05029,PM25,2553.0000002553,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0649,15,0.9729482295999913,0.8549518922007585,1.07775062871889
05029,PM25,2553.0000002553,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0649,15,0.9729482295999913,0.8549518922007585,1.07775062871889
05030,PM25,961894.9995190524,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0713,4154,296.2323455508335,274.0161580781422,317.40074267001154
05030,PM25,961894.9995190524,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0713,4154,296.2323455508335,274.0161580781422,317.40074267001154
05031,PM25,25328.999992401303,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0636,131,8.33646309024214,7.223507191517307,9.302065134500388
05031,PM25,25328.999992401303,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0636,131,8.33646309024214,7.223507191517307,9.302065134500388
05032,PM25,42950.9999957049,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0654,325,21.27003480365396,18.77734306126742,23.44044053105203
05032,PM25,42950.9999957049,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0654,325,21.27003480365396,18.77734306126742,23.44044053105203
05033,PM25,101269.999989873,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0609,703,42.7810569473574,35.712235361092546,48.19979085692724
05033,PM25,101269.999989873,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0609,703,42.7810569473574,35.712235361092546,48.19979085692724
05034,PM25,6632.9999993367,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0459,15,0.6890011200049392,0.5096354447548903,0.8463995304286227
05034,PM25,6632.9999993367,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0459,15,0.6890011200049392,0.5096354447548903,0.8463995304286227
05035,PM25,767199.99976984,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0609,4077,248.10578829925478,207.11064518801467,279.53136176912136
05035,PM25,767199.99976984,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0609,4077,248.10578829925478,207.11064518801467,279.53136176912136
05036,PM25,20481.999999999996,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0554,106,5.873331452397526,4.630926680836675,6.79265199889033
05036,PM25,20481.999999999996,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0554,106,5.873331452397526,4.630926680836675,6.79265199889033
05037,PM25,6215.0000006215,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0692,45,3.1147831866512337,2.8469959874118693,3.3694551526055196
05037,PM25,6215.0000006215,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0692,45,3.1147831866512337,2.8469959874118693,3.3694551526055196
05038,PM25,13328,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0687,89,6.1139198478115,5.571204286220366,6.629202784560401
05038,PM25,13328,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0687,89,6.1139198478115,5.571204286220366,6.629202784560401
06001,PM25,27591.9999972408,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0718,189,13.578640538494318,12.56409835644346,14.527472562346414
06001,PM25,27591.9999972408,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0718,189,13.578640538494318,12.56409835644346,14.527472562346414
06002,PM25,163730.9999836269,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0873,1134,98.97286883505171,92.96690064658351,106.76037259668902
06002,PM25,163730.9999836269,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0873,1134,98.97286883505171,92.96690064658351,106.76037259668902
06003,PM25,22170.9999977829,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0881,157,13.834500387780128,13.007122550760668,14.921884501255063
06003,PM25,22170.9999977829,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0873,157,13.702592951590052,12.87107883731359,14.78075705262802
06004,PM25,21808.999997819097,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0873,130,11.346096074565011,10.657581202871125,12.23884341937352
06004,PM25,21808.999997819097,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0873,130,11.346096074565011,10.657581202871125,12.23884341937352
06005,PM25,32827,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0881,197,17.359213862373792,16.321039124202876,18.723638514313677
06005,PM25,32827,with_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0873,197,17.193699436071594,16.150334592043166,18.546555027819874
06006,PM25,5818.999999999999,no_og,long_term,all_cause,mortality,a00_r99,plus25,eschif+fusion,non-linear,main,0.0769,40,3.0769449026321274,2.860308947450446,3.2996373339079637
