cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_erv,ab_erv_mean,ab_erv_lower,ab_erv_upper,paf
07,Chiapas,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,14709,32.42,3.94,60.19,0.0022
07,Chiapas,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,14709,32.42,3.94,60.19,0.0022
07,Chiapas,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1211,39.28,8.88,72.77,0.0324
07,Chiapas,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,2088,61.04,38.43,83.31,0.0292
07,Chiapas,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1208,39.72,8.98,73.58,0.0329
07,Chiapas,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,2082,61.77,38.9,84.3,0.0297
07,Chiapas,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,2088,96.01,59.29,135.3,0.046
07,Chiapas,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,14709,476.3,139.65,811.87,0.0324
07,Chiapas,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,14709,733.56,174.11,1262.25,0.0499
07,Chiapas,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,14709,622.28,17.62,1218.66,0.0423
07,Chiapas,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,2088,96.8,59.79,136.39,0.0464
07,Chiapas,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,14709,479.69,140.67,817.51,0.0326
07,Chiapas,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,14709,738.68,175.37,1270.72,0.0502
07,Chiapas,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,14709,626.66,17.75,1226.86,0.0426
08,Chihuahua,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1250,2.04,1.13,2.94,0.0016
08,Chihuahua,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1635,1.83,1.05,2.6,0.0011
08,Chihuahua,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,5375,7.33,1.17,13,0.0014
08,Chihuahua,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,5375,9.61,1.17,17.84,0.0018
08,Chihuahua,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,5375,9.61,1.17,17.84,0.0018
08,Chihuahua,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1250,2.02,1.12,2.92,0.0016
08,Chihuahua,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1635,1.81,1.04,2.58,0.0011
08,Chihuahua,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,5375,7.26,1.16,12.88,0.0014
08,Chihuahua,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,5375,9.52,1.16,17.68,0.0018
08,Chihuahua,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,5375,9.52,1.16,17.68,0.0018
08,Chihuahua,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1250,56.18,12.76,103.52,0.0449
08,Chihuahua,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1635,65.73,41.47,89.53,0.0402
08,Chihuahua,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1242,55.9,12.7,103,0.045
08,Chihuahua,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1625,65.44,41.29,89.13,0.0403
