cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper,paf
08,Chihuahua,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,4326,23.64,14.35,37.2,0.0055
08,Chihuahua,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,21185,122.65,74.43,169.79,0.0058
08,Chihuahua,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,617,2.04,1.03,3.03,0.0033
08,Chihuahua,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,6975,38.63,23.44,60.79,0.0055
08,Chihuahua,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,4326,23.42,14.21,36.85,0.0054
08,Chihuahua,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,617,162.22,88.46,204.61,0.2629
08,Chihuahua,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,617,88.46,46.27,139.08,0.1434
08,Chihuahua,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,2300,519.31,226.91,763.9,0.2258
08,Chihuahua,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,617,162.59,88.68,205.06,0.2635
08,Chihuahua,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,617,88.68,46.39,139.41,0.1437
08,Chihuahua,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,2300,520.56,227.5,765.6,0.2263
08,Chihuahua,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,21185,1300.42,901.04,1690.21,0.0614
08,Chihuahua,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,6975,537.82,441.4,630.22,0.0771
08,Chihuahua,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,21185,1299.27,900.24,1688.72,0.0613
08,Chihuahua,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,6975,537.32,440.99,629.64,0.077
09,Ciudad de México,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,61214,1527.26,929.88,2107.62,0.0249
09,Ciudad de México,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,2019,40.64,20.62,60.09,0.0201
09,Ciudad de México,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,19920,497.32,302.79,778.79,0.025
09,Ciudad de México,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,11528,287.8,175.23,450.69,0.025
09,Ciudad de México,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,61214,1509.71,919.13,2083.51,0.0247
09,Ciudad de México,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,2019,40.17,20.39,59.4,0.0199
09,Ciudad de México,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,19920,491.6,299.3,769.9,0.0247
09,Ciudad de México,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,11528,284.49,173.2,445.55,0.0247
09,Ciudad de México,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,2019,591.04,325.32,741.2,0.2927
09,Ciudad de México,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,2020,325.49,171.09,508.53,0.1611
09,Ciudad de México,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,7225,1818.72,802.23,2652.2,0.2517
09,Ciudad de México,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,2019,593.61,326.87,744.23,0.294
09,Ciudad de México,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,2020,327.03,171.94,510.8,0.1619
09,Ciudad de México,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,7225,1826.86,806.16,2663.05,0.2529
09,Ciudad de México,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,61214,13257.87,9406.93,16832.75,0.2166
09,Ciudad de México,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,19920,5480.41,4581.88,6308.28,0.2751
09,Ciudad de México,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,61214,13242.68,9395.72,16814.23,0.2163
09,Ciudad de México,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,19920,5474.38,4576.68,6301.55,0.2748
10,Durango,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,7818,25.87,15.69,35.86,0.0033
10,Durango,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,266,0.68,0.34,1,0.0026
10,Durango,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,3029,9.92,6.01,15.63,0.0033
10,Durango,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,2278,7.46,4.52,11.76,0.0033
10,Durango,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,7818,25.66,15.56,35.56,0.0033
10,Durango,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,266,0.67,0.34,1,0.0025
10,Durango,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,3029,9.84,5.96,15.5,0.0032
10,Durango,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,2278,7.4,4.49,11.66,0.0032
10,Durango,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,266,68.08,37.04,85.98,0.2559
10,Durango,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,266,37.04,19.35,58.33,0.1392
10,Durango,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,737,161.76,70.52,238.44,0.2195
10,Durango,O3,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,266,68.23,37.14,86.17,0.2565
10,Durango,O3,with_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,266,37.14,19.4,58.46,0.1396
10,Durango,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,737,162.16,70.71,238.98,0.22
10,Durango,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,7818,330.23,227.28,432.07,0.0422
10,Durango,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,3029,165.81,135.41,195.23,0.0547
10,Durango,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,7818,330.6,227.54,432.55,0.0423
10,Durango,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,3029,166.01,135.58,195.46,0.0548
11,Guanajuato,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,32687,309.7,187.99,428.66,0.0095
11,Guanajuato,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,878,6.69,3.38,9.92,0.0076
11,Guanajuato,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,11166,106.4,64.58,167.36,0.0095
11,Guanajuato,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,7575,72.66,44.11,114.29,0.0096
11,Guanajuato,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,32687,305.66,185.53,423.07,0.0094
11,Guanajuato,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,878,6.6,3.34,9.79,0.0075
11,Guanajuato,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,11166,105.02,63.75,165.2,0.0094
11,Guanajuato,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,7575,71.73,43.54,112.83,0.0095
11,Guanajuato,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,878,234.95,128.3,296.08,0.2676
11,Guanajuato,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2023,lineal,main,878,128.3,67.16,201.53,0.1461
