cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_erv,ab_erv_mean,ab_erv_lower,ab_erv_upper,paf
06,Colima,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2637,8.58,1.04,15.93,0.0033
06,Colima,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,563,20.74,4.7,38.36,0.0368
06,Colima,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1070,35.06,22.09,47.82,0.0328
06,Colima,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,563,20.79,4.71,38.45,0.0369
06,Colima,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1066,34.98,22.04,47.72,0.0328
06,Colima,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,1070,38.24,23.51,54.13,0.0357
06,Colima,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2637,61.34,17.88,105.17,0.0233
06,Colima,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2637,94.89,22.31,164.77,0.036
06,Colima,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2637,80.34,2.25,158.96,0.0305
06,Colima,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,1070,38.2,23.49,54.08,0.0357
06,Colima,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,2637,61.34,17.88,105.16,0.0233
06,Colima,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,2637,94.88,22.3,164.75,0.036
06,Colima,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,2637,80.34,2.25,158.95,0.0305
07,Chiapas,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1211,2.46,1.36,3.55,0.002
07,Chiapas,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,2088,3.02,1.73,4.3,0.0014
07,Chiapas,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,14709,28.94,4.61,51.32,0.002
07,Chiapas,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,14709,37.94,4.61,70.41,0.0026
07,Chiapas,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,14709,37.94,4.61,70.41,0.0026
07,Chiapas,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1211,2.59,1.43,3.74,0.0021
07,Chiapas,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,2088,3.19,1.83,4.54,0.0015
07,Chiapas,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,14709,30.05,4.79,53.29,0.002
07,Chiapas,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,14709,39.4,4.79,73.1,0.0027
07,Chiapas,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,14709,39.4,4.79,73.1,0.0027
07,Chiapas,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1211,39.28,8.88,72.77,0.0324
07,Chiapas,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,2088,61.04,38.43,83.31,0.0292
07,Chiapas,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1208,39.72,8.98,73.58,0.0329
07,Chiapas,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,2082,61.77,38.9,84.3,0.0297
07,Chiapas,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,2088,96.01,59.29,135.3,0.046
07,Chiapas,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,14709,476.3,139.65,811.87,0.0324
07,Chiapas,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,14709,733.56,174.11,1262.25,0.0499
07,Chiapas,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,14709,622.28,17.62,1218.66,0.0423
07,Chiapas,PM25,with_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,2088,96.8,59.79,136.39,0.0464
07,Chiapas,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,14709,479.69,140.67,817.51,0.0326
07,Chiapas,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,14709,738.68,175.37,1270.72,0.0502
07,Chiapas,PM25,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,14709,626.66,17.75,1226.86,0.0426
08,Chihuahua,NO2,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1250,5.91,3.27,8.51,0.0047
08,Chihuahua,NO2,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1635,5.04,2.89,7.18,0.0031
08,Chihuahua,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,5375,17.26,2.75,30.59,0.0032
08,Chihuahua,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,5375,22.62,2.75,41.94,0.0042
08,Chihuahua,NO2,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,5375,22.62,2.75,41.94,0.0042
08,Chihuahua,NO2,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1250,5.86,3.24,8.44,0.0047
08,Chihuahua,NO2,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1635,5.01,2.87,7.12,0.0031
08,Chihuahua,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,5375,17.12,2.73,30.35,0.0032
08,Chihuahua,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmax,lineal,sensitivity,5375,22.44,2.73,41.61,0.0042
08,Chihuahua,NO2,with_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lagmean,lineal,sensitivity,5375,22.44,2.73,41.61,0.0042
08,Chihuahua,O3,no_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1250,56.18,12.76,103.52,0.0449
08,Chihuahua,O3,no_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1635,65.73,41.47,89.53,0.0402
08,Chihuahua,O3,with_og,short_term,asthma,ed_visits,j45_j46,less20,zheng_2021,lineal,main,1242,55.9,12.7,103,0.045
08,Chihuahua,O3,with_og,short_term,asthma,ed_visits,j45_j46,total,zheng_2021,lineal,main,1625,65.44,41.29,89.13,0.0403
08,Chihuahua,PM25,no_og,short_term,asthma,ed_visits,j45_j46,total,ru_2023,lineal,main,1635,30.07,18.44,42.7,0.0184
08,Chihuahua,PM25,no_og,short_term,cvd,ed_visits,i00_i99,total,ugalde_2022_lag0,lineal,sensitivity,5375,70.31,20.45,120.79,0.0131
