cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_dths,ab_dths_mean,ab_dths_lower,ab_dths_upper,paf
24,San Luis Potosí,O3,with_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1614,625.92,291.47,869.7,0.3878
24,San Luis Potosí,PM25,no_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,16196,1343.41,931.22,1745.3,0.0829
24,San Luis Potosí,PM25,no_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,5782,627.74,515.56,735.07,0.1086
24,San Luis Potosí,PM25,with_og,long_term,all_cause,mortality,a00_r99,plus25,orellano_2024,lineal,main,16196,1348.49,934.8,1751.78,0.0833
24,San Luis Potosí,PM25,with_og,long_term,cvd,mortality,i00_i99,plus25,orellano_2024,lineal,main,5782,630.16,517.58,737.86,0.109
25,Sinaloa,NO2,no_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,12274,139.35,84.69,192.67,0.0114
25,Sinaloa,NO2,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,321,2.76,1.4,4.09,0.0086
25,Sinaloa,NO2,no_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,4060,44.43,27,69.78,0.0109
25,Sinaloa,NO2,no_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,2337,25.65,15.59,40.29,0.011
25,Sinaloa,NO2,with_og,long_term,all_cause,mortality,a00_r99,plus25,kasdagli_2024,lineal,main,12274,137.83,83.75,190.56,0.0112
25,Sinaloa,NO2,with_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,321,2.73,1.38,4.05,0.0085
25,Sinaloa,NO2,with_og,long_term,cvd,mortality,i00_i99,plus25,kasdagli_2024,lineal,main,4060,43.94,26.7,69.01,0.0108
25,Sinaloa,NO2,with_og,long_term,ihd,mortality,i20_i25,plus25,kasdagli_2024,lineal,main,2337,25.37,15.42,39.85,0.0109
25,Sinaloa,O3,no_og,long_term,copd,mortality,j45_j46,plus25,kasdagli_2024,lineal,main,321,122.52,69.49,150.87,0.3817
25,Sinaloa,O3,no_og,long_term,copd,mortality,j45_j46,total,gbd_2021,lineal,main,322,83.62,18.27,134.6,0.2597
25,Sinaloa,O3,no_og,long_term,respiratory,mortality,j00_j99,plus25,kasdagli_2024,lineal,main,1306,434.92,198.01,616.44,0.333
