cveent,entidad,pollutant,exp_type,temporality,cause,health_outcome,icd_10,age_group,reference,crf_type,analysis_type,total_incid,ab_incid_mean,ab_incid_lower,ab_incid_upper,paf
27,Tabasco,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2704,100.76,42.01,135.85,0.0373
27,Tabasco,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2704,108.72,45.37,146.49,0.0402
27,Tabasco,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2704,901.58,334.73,1329.7,0.3334
27,Tabasco,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,2704,907.85,337.42,1337.66,0.3357
28,Tamaulipas,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,6120,221.14,92.13,298.25,0.0361
28,Tamaulipas,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,6120,233.5,97.35,314.78,0.0382
28,Tamaulipas,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,6120,1295.9,456.59,2005.16,0.2117
28,Tamaulipas,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,6120,1302.85,459.26,2014.99,0.2129
29,Tlaxcala,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,235,17.42,7.35,23.32,0.0741
29,Tlaxcala,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,235,17.39,7.34,23.28,0.074
29,Tlaxcala,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,235,76.15,28.16,112.71,0.324
29,Tlaxcala,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,235,76.34,28.24,112.95,0.3249
30,Veracruz,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4423,163.03,68.13,219.47,0.0369
30,Veracruz,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4423,176.09,73.65,236.94,0.0398
30,Veracruz,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4423,1158.28,416.59,1758.27,0.2619
30,Veracruz,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,4423,1168.83,420.81,1772.63,0.2643
31,Yucatán,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3502,98.37,41,132.66,0.0281
31,Yucatán,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3502,97.56,40.65,131.57,0.0279
31,Yucatán,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3502,642.69,223.79,1005.47,0.1835
31,Yucatán,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,3502,645.2,224.73,1009.12,0.1842
32,Zacatecas,NO2,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,586,13.49,5.6,18.24,0.023
32,Zacatecas,NO2,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,586,13.36,5.54,18.06,0.0228
32,Zacatecas,PM25,no_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,586,86.96,29.89,137.74,0.1484
32,Zacatecas,PM25,with_og,long_term,asthma,incidence,j45_j46,less20,khreis_2017,lineal,main,586,87.01,29.91,137.82,0.1485
