cvemun,pollutant,tot_pop_mun,exp_type,exposure_weigh,crf_id,temporality,cause,health_outcome,icd_10,age_group,crf_mean_10,crf_lower_10,crf_upper_10,interval_ug_m3,beta_mean,beta_lower,beta_upper,reference,crf_type,analysis_type,paf_mean,paf_lower,paf_upper,total_incid,ab_incid_mean,ab_incid_lower,ab_incid_upper
24022,PM25,19396.0000019396,with_og,6.8340759947847465,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.18127959423675527,0.06305968916110821,0.28387410400316787,1,0.18127959423675527,0.06305968916110821,0.28387410400316787
24023,NO2,15528.999996894205,no_og,1.9046550483693745,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.023173983501795215,0.009608826958163553,0.031345555099847155,NA,0,0,0
24023,NO2,15528.999996894205,with_og,1.9278154816480315,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.023452446690950233,0.009725099433718938,0.031720604355076135,NA,0,0,0
24023,PM25,15528.999996894205,no_og,9.78980003497858,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.24912621182809522,0.0890859746980905,0.38017002016112034,NA,0,0,0
24023,PM25,15528.999996894205,with_og,9.83447484818434,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.2501073347808161,0.08947375609061123,0.38152146130327047,NA,0,0,0
24024,NO2,101049.999969685,no_og,2.354139358741739,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.02856408053048886,0.011862939410518619,0.03859841445305817,71,2.028049717664709,0.8422686981468219,2.7404874261671304
24024,NO2,101049.999969685,with_og,2.3609829529573556,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.028645916817900068,0.011897219573500147,0.038708421644862163,71,2.0338600940709046,0.8447025897185104,2.7482979367852134
24024,PM25,101049.999969685,no_og,9.519181052324504,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.24315553150053618,0.08673344487582633,0.37192026999174616,71,17.26404273653807,6.15807458618367,26.406339169413975
24024,PM25,101049.999969685,with_og,9.553053507505464,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.24390545282448453,0.08702823533089107,0.3729588449255686,71,17.3172871505384,6.179004708493267,26.48007798971537
24025,NO2,31194.999993761,no_og,1.3749312636762905,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.016783270922408253,0.0069457209733017914,0.022727684461786517,18,0.30209887660334855,0.12502297751943225,0.4090983203121573
24025,NO2,31194.999993761,with_og,1.3611165676003616,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.016616048955475523,0.006876173957128703,0.022501915657346352,18,0.2990888811985594,0.12377113122831665,0.40503448183223434
24025,PM25,31194.999993761,no_og,6.010589302500785,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.16130795091666764,0.05567702301476737,0.25447408318965037,18,2.9035431165000176,1.0021864142658126,4.580533497413707
24025,PM25,31194.999993761,with_og,6.017835625704245,18,long_term,asthma,incidence,j45_j46,less20,1.34,1.1,1.63,10,0.029266961396282005,0.009531017980432493,0.04885800148186709,khreis_2017,lineal,main,0.16148580007326033,0.05574224027487105,0.2547379831152697,18,2.906744401318686,1.0033603249476788,4.585283696074854
24026,NO2,9524.0000009524,no_og,2.770403989659801,8,long_term,asthma,incidence,j45_j46,less20,1.131,1.052,1.182,10,0.012310219713398341,0.005069311431551817,0.016720791898390642,khreis_2017,lineal,main,0.03352928593075684,0.013945883122947974,0.045266799355427496,1,0.03352928593075684,0.013945883122947974,0.045266799355427496
